song,count,before_song
"Bird Song",2,"Passenger"
"Bird Song",2,"The Promised Land"
"Bird Song",1,"Mack The Knife"
"Bird Song",1,"The Rub"
"Bird Song",1,"You Ain't Woman Enough"
"Bird Song",1,"Hell In A Bucket"
"Bird Song",1,"Loser"
"Bird Song",1,"Down In The Bottom"
"Bird Song",1,"Playing In The Band"
"Bird Song",1,"Next Time You See Me"
"Bird Song",1,"Me And Bobby Mcgee"
"Bird Song",1,"Truckin'"
"Bird Song",1,"Broken Arrow"
"Bird Song",1,"Looks Like Rain"
"Bird Song",1,"Sugar Magnolia"
"Bird Song",1,"Dark Hollow"
"Bird Song",1,"Dancing In The Streets"
"Bird Song",1,"Johnny B. Goode"
"Bird Song",1,"Victim Or The Crime"
"Bird Song",1,"Eternity"
"Bird Song",1,"Big Boss Man"
"Bird Song",1,"Box Of Rain"
"Bird Song",1,"Easy Answers"
"Bird Song",1,"Dark Star"
"Bird Song",1,"Rosalie Mcfall"
"Bird Song",1,"I Know You Rider"
"Bird Song",1,"Supplication"
"Bird Song",0,""
"Black Muddy River",2,"Johnny B. Goode"
"Black Muddy River",2,"Not Fade Away"
"Black Muddy River",2,"Samson And Delilah"
"Black Muddy River",1,"Goin' Down The Road Feeling Bad"
"Black Muddy River",1,"Man Smart (Woman Smarter)"
"Black Muddy River",1,"Dancing In The Streets"
"Black Muddy River",1,"Gimme Some Lovin'"
"Black Muddy River",1,"Hey Jude"
"Black Muddy River",1,"Looks Like Rain"
"Black Muddy River",1,"One More Saturday Night"
"Black Muddy River",1,"Let It Grow"
"Black Muddy River",0,""
"Black Peter",54,"Not Fade Away"
"Black Peter",35,"The Other One"
"Black Peter",34,"Truckin'"
"Black Peter",26,"I Need A Miracle"
"Black Peter",23,"All Along The Watchtower"
"Black Peter",13,"Drums"
"Black Peter",11,"The Last Time"
"Black Peter",8,"Space"
"Black Peter",8,"The Wheel"
"Black Peter",7,"Throwing Stones"
"Black Peter",7,"Playing In The Band (reprise)"
"Black Peter",5,"Wake Up Little Susie"
"Black Peter",5,"Goin' Down The Road Feeling Bad"
"Black Peter",5,"Gimme Some Lovin'"
"Black Peter",5,"Casey Jones"
"Black Peter",5,"Me And My Uncle"
"Black Peter",5,"Saint Of Circumstance"
"Black Peter",5,"I Know You Rider"
"Black Peter",4,"Mason's Children"
"Black Peter",4,"Spoonful"
"Black Peter",4,"Mama Tried"
"Black Peter",4,"Sugar Magnolia"
"Black Peter",4,"Mexicali Blues"
"Black Peter",3,"Beat It On Down The Line"
"Black Peter",3,"Smokestack Lightnin'"
"Black Peter",3,"Cryptical Envelopment"
"Black Peter",3,"Candyman"
"Black Peter",2,"Cold Rain And Snow"
"Black Peter",2,"Big Boss Man"
"Black Peter",2,"Playing In The Band"
"Black Peter",2,"Don't Ease Me In"
"Black Peter",2,"Hard To Handle"
"Black Peter",2,"Friend Of The Devil"
"Black Peter",2,"Silver Threads And Golden Needles"
"Black Peter",2,"Uncle John's Band"
"Black Peter",2,"Run Rudolph Run"
"Black Peter",2,"Cumberland Blues"
"Black Peter",2,"El Paso"
"Black Peter",2,"Dear Mr. Fantasy"
"Black Peter",2,"Nobody's Fault But Mine Jam"
"Black Peter",1,"Jack Straw"
"Black Peter",1,"Man Smart (Woman Smarter)"
"Black Peter",1,"Dark Hollow"
"Black Peter",1,"Just Like Tom Thumb's Blues"
"Black Peter",1,"New Minglewood Blues"
"Black Peter",1,"Iko Iko"
"Black Peter",1,"Wang Dang Doodle"
"Black Peter",1,"Greatest Story Ever Told"
"Black Peter",1,"Loser"
"Black Peter",1,"The Race Is On"
"Black Peter",1,"The Rub"
"Black Peter",1,"Franklin's Tower"
"Black Peter",1,"When I Paint My Masterpiece"
"Black Peter",1,"Tennessee Jed"
"Black Peter",1,"Nobody's Fault But Mine"
"Black Peter",1,"Hey Jude"
